rowid,name,address,category2,category3,Nbhd,lat,lng
142,Canadian Tire Gas Bar,"2201 Greenbank Road, Nepean, ON, K2J 4Y6",convenience,gas station,Old Barrhaven East,45.2725923,-75.7468452
143,Canadian Tire Gas Bar,"2501 Greenbank Road, Nepean, ON, K2J 4Y6",convenience,gas station,Old Barrhaven East,45.272268,-75.7457082
144,Canal Ritz Restaurant,"375 Queen Elizabeth Drive, Ottawa, ON K1S 5M5",specialty,deli meat cheese,Glebe - Dows Lake,45.4017693,-75.6803244
145,Cantors Bakery & Delicatessen,"255 Albert St, Ottawa, ON K1P 6A9",specialty,bakery,Centretown,45.4197984,-75.7011578
146,Capital Buns Bakery,"2440 Bank Street, Ottawa, ON K1V 8S1",specialty,bakery,South Keys - Greenboro West,45.3535284,-75.6481363
147,Capital Diner,"164 Laurier Avenue W, Ottawa, ON K1P 5J4",specialty,deli meat cheese,Centretown,45.4203023,-75.6942268
148,Carb Free Baking Co.,"52 Antares Dr, Ottawa, ON K2E 7Z1",specialty,bakery,Hunt Club South Industrial,45.3310377,-75.7103622
149,Cards & Mags Plus,"25 McArthur Ave, Vanier, ON K1L 6R3",convenience,regular,Vanier South,45.4313724,-75.667942
150,Carmelito,"354 Preston Street, Ottawa, ON K1S 4M7",specialty,bakery,West Centretown,45.4017854,-75.7105634
151,Carmelito Cafe,"605 Longfields Drive, Ottawa, ON K2J 4X1",specialty,bakery,Old Barrhaven East,45.2849643,-75.7448265
152,Carp Bakery,"461 Donald B Munro Drive, Ottawa, ON K0A 1L0",specialty,bakery,Carp,45.3447291,-76.0380015
153,Carson Fresh Grocer | Halal Meat and Bangladeshi Fish,"876 Montreal Rd, Ottawa, ON K1K 4L3",grocery,small,Carson Grove - Carson Meadows,45.4457968,-75.6301564
154,Casa Dei Panini,"52 Antares Drive, Ottawa, ON K2E 7Z1",specialty,deli meat cheese,Hunt Club South Industrial,45.3310377,-75.7103622
155,Casa Nicastro Delicatessen,"304 Preston St, Ottawa, ON",grocery,small,West Centretown,45.4034261,-75.7113838
156,Cassis Gelato et Sorbet Maison,"68 Rue Principale, Gatineau, QC J9H 3M6",specialty,bakery,(None),45.3945144,-75.8478468
157,Ceci Cela Convenient Store,"50 O'connor St, Ottawa, ON K1P 6L2",convenience,regular,Centretown,45.4208307,-75.6989356
158,Cedars & Co. Food Market,"1255 Bank St, Ottawa, ON",grocery,large,Old Ottawa South,45.3909623,-75.6798999
159,Cedars & Co. Food Market,"1793 Kilborn Ave, Ottawa, ON K1H 6N2",grocery,large,Playfair Park - Lynda Park - Guildwood Estates,45.3880921,-75.6452686
160,Centrale Bergham,"2208 St Joseph Boulevard, Ottawa, ON K1C 1E8",specialty,deli meat cheese,Orléans Village - Chateauneuf,45.4671816,-75.5324357
161,Centrepointe Cafe & Deli,"117 Centrepointe Drive, Nepean, ON K2G 5X3",specialty,deli meat cheese,Centrepointe,45.3429403,-75.7624942
162,ChÃƒÂ¢teau Pastry,"1600 Walkley Road, Ottawa, ON K1V 6P5",specialty,bakery,Ledbury - Heron Gate - Ridgemont,45.3768759,-75.645979
163,Charlies Groceteria,"220 Carruthers Avenue, Ottawa, ON",grocery,small,Hintonburg - Mechanicsville,45.4043024,-75.7281375
164,Chateau Bakery & Pastry,"87 Sparks Street, Ottawa, ON K1P 5A5",specialty,bakery,Centretown,45.4230608,-75.6971851
165,Cheesecake Factory,"8555 Campeau Drive, Ottawa, ON K2T 0K5",specialty,bakery,Kanata Lakes - Arcardia,45.3058837,-75.923067
166,Chenoy's,"120 Blvd De L'hopital, Gatineau, QC J8T 8M2",specialty,deli meat cheese,(None),45.4810589,-75.6866854
167,Chez FranÃƒÂ§ois - Plaisirs de Provence,"427 Richmond Road, Ottawa, ON K2A 0G2",specialty,bakery,Westboro,45.390155,-75.7580499
168,Chez Lucien,"137 Murray St, Ottawa, ON K1N 5M7",specialty,bakery,Byward Market,45.4304809,-75.692001200000007
169,Chocolats Favoris,"180 Vanguard Drive, Orleans, ON K4A 0T8",specialty,bakery,Portobello South,45.4575587,-75.48667
170,Christopher's Meat Market,"6146 Perth St, Richmond, ON K0A 2Z0",grocery,small,Richmond,45.1935776,-75.8394527
171,Chuck's Deli & Convenience,"100 Trainyards Drive, Ottawa, ON K1G 3S5",convenience,regular,East Industrial,45.4125374,-75.6466372
