name,cost_center,ccs,address,city,latitude,longitude,franchise,store_brand,display_brand,op_status,division_name,distance,country,url,services,franchise_brand
142,142,0,5795 BOUL. DES LAURENTIDES,LAVAL,45.6302265,-73.7520925,0,Couche-Tard,Couche-Tard,Open,quebec,94.75606873946566,CA,/store-locator/CA/laval/5795-boul-des-laurentides/142,"public_restrooms, atm, ca_coffee",NA
441,441,0,53 BOUL. D'ANJOU,CHÂTEAUGUAY,45.3613852,-73.7385666,0,Couche-Tard,Couche-Tard,Open,quebec,94.84094572256772,CA,/store-locator/CA/chateauguay/53-boul-d-anjou/441,"atm, ca_coffee",NA
115,115,0,7255 BOUL. DES LAURENTIDES,LAVAL,45.6450916,-73.7530753,0,Couche-Tard,Couche-Tard,Open,quebec,94.8468754125868,CA,/store-locator/CA/laval/7255-boul-des-laurentides/115,"public_restrooms, atm, ca_coffee",NA
464,464,0,227 BOUL. MAPLE,CHÂTEAUGUAY,45.3722336,-73.73546,0,Couche-Tard,Couche-Tard,Open,quebec,94.94390540210001,CA,/store-locator/CA/chateauguay/227-boul-maple/464,"atm, ca_coffee",NA
1210,1210,0,372 Boulevard Adolphe Chapleau,Bois-des-Filion,45.6696038,-73.7550163,0,Couche-Tard,Couche-Tard,Open,quebec,95.00562280892719,CA,/store-locator/CA/bois-des-filion/372-boulevard-adolphe-chapleau/1210,"public_restrooms, atm, dhl, ca_coffee",NA
1089,1089,0,"676, boul. Saint-Jean-Baptiste",Mercier,45.3198214,-73.7392229,0,Couche-Tard,Couche-Tard,Open,quebec,95.0466082102428,CA,/store-locator/CA/mercier/676-boul-saint-jean-baptiste/1089,"public_restrooms, redbull_shop, ca_coffee",NA
106,106,0,225 BOUL. CURE-LABELLE,LAVAL,45.5371589,-73.7321337,0,Couche-Tard,Couche-Tard,Open,quebec,95.1073637573189,CA,/store-locator/CA/laval/225-boul-cure-labelle/106,"public_restrooms, atm, ca_coffee",NA
430,430,0,125 BOUL. MAPLE,CHÂTEAUGUAY,45.3640611,-73.7323787,0,Couche-Tard,Couche-Tard,Open,quebec,95.128797699682,CA,/store-locator/CA/chateauguay/125-boul-maple/430,"atm, ca_coffee",NA
475,475,0,182 BOUL. SAINT-JOSEPH,CHÂTEAUGUAY,45.3452804,-73.7336573,0,Couche-Tard,Couche-Tard,Open,quebec,95.16079206261375,CA,/store-locator/CA/chateauguay/182-boul-saint-joseph/475,"public_restrooms, atm, redbull_shop, ca_coffee",NA
131,131,0,4655 BOUL. DES LAURENTIDES,LAVAL,45.6158528,-73.7398947,0,Couche-Tard,Couche-Tard,Open,quebec,95.21701357569295,CA,/store-locator/CA/laval/4655-boul-des-laurentides/131,"atm, ca_coffee",NA
133,133,0,3150 BOUL. CARTIER O,LAVAL,45.540973,-73.7289957,0,Couche-Tard,Couche-Tard,Open,quebec,95.27487004375551,CA,/store-locator/CA/laval/3150-boul-cartier-o/133,"atm, ca_coffee",NA
113,113,0,2305 BOUL. INDUSTRIEL,LAVAL,45.5820583,-73.7318595,0,Couche-Tard,Couche-Tard,Open,quebec,95.35729996425539,CA,/store-locator/CA/laval/2305-boul-industriel/113,"public_restrooms, atm, roller_grill, sloche, redbull_shop, ca_coffee",NA
140,140,0,45 BOUL. SAINT-ELZÉAR O,LAVAL,45.6007393,-73.732043,0,Couche-Tard,Couche-Tard,Open,quebec,95.47651961332008,CA,/store-locator/CA/laval/45-boul-saint-elzear-o/140,"diesel, public_restrooms, atm, ca_coffee",NA
245,245,0,6215 BOUL. HENRI-BOURASSA O,SAINT-LAURENT,45.513727,-73.7209887,0,Couche-Tard,Couche-Tard,Open,quebec,95.56226718940276,CA,/store-locator/CA/saint-laurent/6215-boul-henri-bourassa-o/245,"public_restrooms, atm, roller_grill, sloche, ca_coffee",NA
155,155,0,285 CÔTE DE TERREBONNE,TERREBONNE,45.6771395,-73.7438878,0,Couche-Tard,Couche-Tard,Open,quebec,95.61677804528036,CA,/store-locator/CA/terrebonne/285-cote-de-terrebonne/155,"diesel, public_restrooms, atm, ca_coffee",NA
