name,address,note,category
Mr Pretzels,"50 Rideau Street, Ottawa, ON K1N 9J7",Desserts,bakery
Hasi Bakery,"250 Greenbank Road, Ottawa, ON K2H 8X4",Bakeries,bakery
Al Jabal Bakery,"6469 Jeanne D'arc Boulevard, Ottawa, ON K1C 2R1","Lebanese, Bakeries",bakery
Britannia Coffeehouse,"273 Britannia Road, Ottawa, ON K2B 6W7","Coffee &amp; Tea, Bakeries",bakery
Prince Ali Bakery,"1600 Walkey Road, Ottawa, ON K1V 6P5",Bakeries,bakery
Lebanese Village Bakery,"2653 Alta Vista Drive, Ottawa, ON K1V 1A3","Bakeries, Lebanese",bakery
Al-Oumara Meat Shop &amp; Grill,"25 Tapiola Crescent, Ottawa, ON K1T 2J7","Meat Shops, Lebanese",bakery
Chez Lucien,"137 Murray St, Ottawa, ON K1N 5M7","Bars, French, Burgers",bakery
Aladdin Bakery,"2020 Lanthier Drive, Orléans, ON K4A 3V4","Bakeries, Lebanese",bakery
Café Cristal,"240 Kennevale Drive, Ottawa, ON K2J 6B6",Cafes,bakery
Cakey Bliss,"Ottawa, ON",Bakeries,bakery
Blooming Bundles - Diaper Cakes,"1466 Comfrey Crescent, Ottawa -Orleans, ON K4A 0L8",Bakeries,bakery
Wild Child Coffee Project,"314 Richmond Rd, Ottawa, ON K1Z 6X6",Coffee &amp; Tea,bakery
Healthy Planet Trainyards,"590 Industrial Avenue, Ottawa, ON K1G 5A5","Vitamins &amp; Supplements, Health Food Store, Grocery",bakery
Michel’s Baguette,"50 Rideau Street, Ottawa, ON K1N 9J7","Bakeries, Coffee &amp; Tea, Sandwiches",bakery
Skela Foods,"1884 Merivale Road, Ottawa, ON K2G 1E6","Mediterranean, Delicatessen, Bakeries",bakery
Geenie Bakery,"209 Glen Park Drive, Ottawa, ON K1B 5B8","Lebanese, Bakeries, Mediterranean",bakery
Moca Loca Cafe,"1 Rue Victoria, Gatineau, QC J8X 1Z6","Coffee &amp; Tea, Bakeries, Sandwiches",bakery
Pelican Seafood Market &amp; Grill,"1500 Bank Street, Ottawa, ON K1H 7Z2","Seafood, Seafood Markets",bakery
Drip House,"340B Parkdale Avenue, Ottawa, ON K1Y 2W5",Cafes,bakery
The SconeWitch,"393 Winston Avenue, Ottawa, ON K2A 1Y8","Bakeries, Breakfast &amp; Brunch, Cafes",bakery
Natural Food Pantry - Barrhaven,"4325 Strandherd Dr, Ottawa, ON K2J 6E5",Health Food Store,bakery
Moca Loca,"335 Boulevard Saint-Joseph, Gatineau, QC J8Y","Bakeries, Cafes, Sandwiches",bakery
Aromessö Café,"8555 Campeau Drive, Ottawa, ON K2T 0K5","Coffee &amp; Tea, Bakeries, Creperies",bakery
Tizita Bakeshop,"365A Booth Street, Ottawa, ON K1R 7K1",Bakeries,bakery
Metropolitain Brasserie,"700 Sussex Drive, Ottawa, ON K1N 1K4","French, Seafood, Brasseries",bakery
Boulangerie Patisserie Buckingham,"415 Av De Buckingham, Gatineau, QC J8L 2G8",Bakeries,bakery
Babi’s Restaurant,"21 Nadolny Sachs Private, Ottawa, ON K2A 1R9","Kosher, Bakeries",bakery
Sweet Treatz Cake Pops,"1250 Tara Drive, Ottawa, ON K2C 2H5",Bakeries,bakery
Première Moisson,"920 Boulevard Maloney O, Gatineau, QC J8T 3R6",Bakeries,bakery
Kulture Foods,"Ottawa Farmers Market, Brewers Park, Old Ottawa South, ON K1S",Bakeries,bakery
Morning Owl Coffeehouse &amp; Variety,"1047 Canadian Shield Avenue, Ottawa, ON K2K",Coffee &amp; Tea,bakery
Maverick’s Donut,"1500 Bank Street, Ottawa, ON K1H 7Z2",Doughnuts,bakery
Arnie Sweets Cakes,"Ottawa, ON K1P 1B1","Patisserie/Cake Shop, Desserts, Bakeries",bakery
DollyDoll Cupcake Co,"2333 Church St., North Gower, ON K0A 2T0",Bakeries,bakery
Pete’s Gluten Free,"5390 Canotek Road, Ottawa, ON K1J 1H8","Bakeries, Custom Cakes, Gluten-Free",bakery
Maguro Cafe &amp; Bakery,"745 Kanata Ave, Ottawa, ON K2T 1H9","Bakeries, Specialty Food, Japanese",bakery
