Category1,Category2,Category3,Chain,Update date,Name,address,Y,X,NEMS Code,Note,NBID,NB_name
food,fast food,coffee shop,1,20180628,STARBUCKS,47 RIDEAU STREET,45.42590332,-75.69303894,1,,908,Byward Market
food,fast food,coffee shop,1,20180628,STARBUCKS,486 HAZELDEAN ROAD,45.29627228,-75.89074707,1,,924,Glen Cairn - Kanata South Business Park
food,fast food,coffee shop,1,20180628,STARBUCKS,50 O'CONNOR STREET,45.42060852,-75.69922638,1,,24,Centretown
food,fast food,coffee shop,1,20180628,STARBUCKS,50 RIDEAU STREET,45.42494583,-75.68997192,1,,949,Sandy Hill
food,fast food,coffee shop,1,20180628,STARBUCKS,50 RIDEAU STREET,45.42494583,-75.68997192,1,,949,Sandy Hill
food,fast food,coffee shop,1,20180628,STARBUCKS,500 TERRY FOX DRIVE,45.30871201,-75.91675568,1,,928,Kanata Lakes - Arcardia
food,fast food,coffee shop,1,20180628,STARBUCKS,529 WEST HUNT CLUB ROAD,45.33459091,-75.72685242,1,,99,Tanglewood
food,fast food,coffee shop,1,20180628,STARBUCKS,55 LAURIER AVENUE EAST,45.42431259,-75.68708801,1,,949,Sandy Hill
food,fast food,coffee shop,1,20180628,STARBUCKS,"62 York St, Ottawa, ON K1N 5T1",45.4281852,-75.6920879,1,,908,Byward Market
food,fast food,coffee shop,1,20180628,STARBUCKS,690 EAGLESON ROAD,45.28671265,-75.86766052,1,,924,Glen Cairn - Kanata South Business Park
food,fast food,coffee shop,1,20180628,STARBUCKS,787 BANK STREET,45.40317917,-75.68829346,1,,923,Glebe - Dows Lake
food,fast food,coffee shop,1,20180628,STARBUCKS,81 METCALFE STREET,45.42115402,-75.69578552,1,,24,Centretown
food,fast food,coffee shop,1,20180628,STARBUCKS,844 MARCH ROAD,45.35820007,-75.93456268,1,,907,Brookside - Briarbrook - Morgan's Grant
food,restaurant,nightlife,0,201806,STARS PALACE,"161 MONTREAL RD, K1L 6E4",45.434839,-75.664931,,,953,Vanier North
food,fast food,regular,0,20180706,STATION EXPRESS,320 QUEEN STREET,45.41905212,-75.70330811,134,,24,Centretown
food,convenience store,regular,0,20180706,STE ANNE CONVENIENCE,308 Shakespeare St,45.43956757,-75.65921783,,,953,Vanier North
food,restaurant,regular,0,20180706,STEAK & SUSHI,87 CLARENCE STREET,45.42926788,-75.69293213,,,908,Byward Market
food,restaurant,regular,0,20180706,STEELE'S RESTAURANT,1900 MERIVALE ROAD,45.33031082,-75.72228241,,,65,Merivale Gardens - Grenfell Glen - Pineglen - Country Place
food,fast food,coffee shop,0,20180726,Stella Luna,"1130 Wellington Street, Ottawa, ON K1S 3X4",45.4240683,-75.6967382,,,24,Centretown
food,fast food,regular,0,20180706,STELLA LUNA GELATO CAFE,1103 BANK STREET,45.39391708,-75.68300629,272,,83,Old Ottawa South
food,restaurant,regular,0,20180706,STELLA OSTERIA,81 CLARENCE STREET,45.42917633,-75.69311523,,,908,Byward Market
food,convenience store,gas station,0,20180706,STEWART FUELS,1999 Merivale Rd,45.32481384,-75.71768188,,,51,Hunt Club South Industrial
